"treatment","genotype","replicate","age","clutch1","clutches","fecundity","dead","lifespan","death","size_m","size_c1","size_c3"
"T3","Mugg7a",138,10,3,3,6,"0",17,0,1527.38,582.2,583.2
"T3","Mugg7a",45,10,3,3,6,"0",15,0,1594.6,568.5,606.7
"T3","Mugg7a",164,10,2,3,4,"2",18,0,1697.83,NA,618.4
"T3","Mugg7a",170,10,0,3,6,"1",17,0,1692.81,NA,561
"T3","Mugg7a",21,10,1,3,4,"2",15,0,1401.24,NA,612.1
"T3","Mugg7a",136,13,2,3,6,"0",18,0,1721.46,612.9,541.3
"T3","Mugg7a",129,17,1,1,1,"0",17,1,NA,596.6,NA
"T3","Mugg7a",163,10,0,3,3,"3",15,0,1555.03,NA,544.8
"T3","Mugg7a",137,11,0,3,3,"1",16,0,1475.12,NA,595.1
"T4","Mugg7a",76,8,2,3,3,"2",14,0,1209.69,516.6,580.8
"T4","Mugg7a",100,10,2,2,4,"0",17,1,NA,528.2,NA
"T4","Mugg7a",115,10,3,2,5,"0",24,0,NA,539,NA
"T4","Mugg7a",74,10,2,2,4,"0",24,0,NA,NA,NA
"T4","Mugg7a",64,10,0,3,3,"2",22,0,1425.87,NA,NA
"T4","Mugg7a",67,8,2,3,6,"1",13,0,1288.46,502.3,583.5
"T4","Mugg7a",117,10,0,3,3,"1",14,0,1393.04,NA,556.6
"T4","Mugg7a",113,13,1,2,2,"0",24,0,NA,NA,NA
"T4","Mugg7a",116,10,3,3,7,"0",19,0,1339.28,522.2,581.5
"T4","Mugg7a",103,10,4,3,8,"0",23,0,1440.43,504.3,525.5
"T4","Mugg7a",85,10,2,2,4,"1",24,0,NA,545.3,NA
"T4","Mugg7a",89,NA,NA,0,NA,NA,9,1,NA,NA,NA
"T4","Mugg7a",88,15,1,2,2,"0",24,0,NA,526.9,NA
"T4","Mugg7a",86,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T4","Mugg7a",109,8,1,2,3,"1",10,1,NA,545.2,NA
"T1","Mugg11c",225,8,2,3,9,"0",12,0,1368.99,533.9,546.5
"T1","Mugg11c",203,8,2,3,8,"0",12,0,1364.69,NA,484.7
"T1","Mugg11c",197,9,1,3,8,"0",14,0,1353.97,513.8,580.1
"T1","Mugg11c",188,11,2,3,8,"0",16,0,1378.43,NA,515.5
"T1","Mugg11c",183,10,3,3,9,"0",15,0,1327.16,537.2,551.7
"T1","Mugg11c",204,11,3,3,10,"0",16,0,1359.76,519,562.7
"T1","Mugg11c",196,NA,NA,0,NA,NA,2,1,NA,NA,NA
"T1","Mugg11c",214,10,2,3,10,"0",16,0,1427.15,577.4,567.1
"T1","Mugg11c",211,9,2,3,11,"0",13,0,1388.26,595.7,543.6
"T1","Mugg11c",208,12,1,3,8,"0",16,0,1338.62,582.1,551.5
"T1","Mugg11c",229,11,2,3,11,"1",17,0,1484.86,545.5,515
"T1","Mugg11c",228,10,1,3,10,"0",14,0,1345.85,575.7,505.7
"T1","Mugg11c",226,NA,NA,0,NA,NA,2,1,NA,NA,NA
"T1","Mugg11c",224,15,3,3,14,"0",20,0,1406.74,533.3,557
"T2","Mugg11c",28,NA,NA,0,NA,NA,4,1,NA,NA,NA
"T2","Mugg11c",13,8,3,3,8,"0",13,0,1340.59,596.6,591.1
"T2","Mugg11c",238,14,4,3,11,"0",18,0,1604.53,561.7,593.9
"T2","Mugg11c",126,8,1,3,11,"0",12,0,1425.38,633.5,588.4
"T2","Mugg11c",9,8,2,3,10,"0",12,0,1280.43,569.1,597.8
"T2","Mugg11c",239,8,2,3,10,"0",13,0,1424.36,579.3,569.6
"T2","Mugg11c",6,8,2,3,12,"0",12,0,1470.03,581.6,595.2
"T2","Mugg11c",15,8,2,3,11,"0",12,0,1361.07,572.7,588.9
"T2","Mugg11c",22,8,1,3,10,"0",12,0,1431.25,683.7,591.6
"T2","Mugg11c",5,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T2","Mugg11c",123,8,2,3,10,"0",12,0,1347.37,593.4,575.6
"T2","Mugg11c",124,8,2,3,10,"0",13,0,1442.9,594.5,587.3
"T2","Mugg11c",48,7,2,3,9,"0",12,0,1314.31,595.9,580.6
"T2","Mugg11c",4,7,2,3,11,"0",12,0,1407.5,583.6,590.2
"T3","Mugg11c",139,11,0,3,7,"1",19,0,1476.51,NA,561.6
"T3","Mugg11c",43,12,2,1,2,"0",12,1,NA,577.2,NA
"T3","Mugg11c",42,8,3,1,3,"0",7,1,NA,546.6,NA
"T3","Mugg11c",130,13,2,3,5,"0",18,0,1397.4,561.7,572.7
"T3","Mugg11c",217,10,4,3,10,"1",17,0,1508.2,557.6,494.1
"T3","Mugg11c",219,10,3,3,6,"1",14,0,1330,521.3,NA
"T3","Mugg11c",210,10,0,2,3,"4",11,1,NA,NA,NA
"T3","Mugg11c",215,NA,NA,0,NA,NA,4,1,NA,NA,NA
"T3","Mugg11c",36,NA,NA,0,NA,NA,8,1,NA,NA,NA
"T3","Mugg11c",168,NA,NA,0,NA,NA,11,1,NA,NA,NA
"T3","Mugg11c",233,8,3,3,8,"0",19,0,1555.85,559.8,568.5
"T3","Mugg11c",206,11,3,3,6,"0",15,0,1317.63,582.2,NA
"T3","Mugg11c",182,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T3","Mugg11c",223,NA,NA,0,NA,NA,5,1,NA,NA,NA
"T3","Mugg11c",175,9,2,3,7,"0",14,0,1261.24,565.9,532.6
"T4","Mugg11c",230,10,1,3,3,"2",16,0,1332.89,NA,533.3
"T4","Mugg11c",122,10,0,1,0,"3",11,1,NA,NA,NA
"T4","Mugg11c",232,8,3,2,5,"0",24,0,NA,503.3,NA
"T4","Mugg11c",236,10,2,2,4,"0",12,1,NA,503.2,NA
"T4","Mugg11c",12,10,0,1,0,"1",11,1,NA,NA,NA
"T4","Mugg11c",11,10,3,3,6,"0",15,0,1314.67,490.8,483.5
"T4","Mugg11c",235,NA,NA,0,NA,NA,6,1,NA,NA,NA
"T4","Mugg11c",237,NA,NA,0,NA,NA,12,1,NA,NA,NA
"T4","Mugg11c",3,NA,NA,0,NA,NA,12,1,NA,NA,NA
"T4","Mugg11c",234,NA,NA,0,NA,NA,4,1,NA,NA,NA
"T4","Mugg11c",231,NA,NA,0,NA,NA,10,1,NA,NA,NA
"T4","Mugg11c",18,NA,NA,0,NA,NA,12,1,NA,NA,NA
"T4","Mugg11c",1,9,0,2,2,"2",23,0,NA,NA,NA
"T4","Mugg11c",121,9,2,3,5,"0",22,0,1390.49,492.1,519.3
"T4","Mugg11c",10,10,2,1,2,"0",11,1,NA,509.3,NA
"T1","Mugg13c",92,11,3,3,9,"0",16,0,1583.96,576.7,600.3
"T1","Mugg13c",98,11,3,3,10,"0",16,0,1469.49,558.9,609.1
"T1","Mugg13c",99,14,3,3,12,"0",19,0,1800.3,588.1,605.3
"T1","Mugg13c",101,9,1,3,11,"0",14,0,1610.09,NA,612
"T1","Mugg13c",93,NA,NA,0,NA,NA,3,1,NA,NA,NA
"T1","Mugg13c",147,16,3,3,10,"0",20,0,1453.71,558.8,559.7
"T1","Mugg13c",146,15,1,3,11,"0",19,0,1487.22,535.1,607.7
"T1","Mugg13c",60,14,2,3,10,"0",18,0,1597.88,551.8,538.7
"T1","Mugg13c",59,12,1,3,10,"0",17,0,1316.35,564.6,581.2
"T1","Mugg13c",62,12,3,3,12,"0",16,0,1558.81,561.7,584.9
"T1","Mugg13c",68,15,4,3,10,"0",19,0,1574.88,598.4,NA
"T1","Mugg13c",185,11,3,3,13,"0",16,0,1515.75,594.9,615.9
"T1","Mugg13c",102,12,2,3,11,"1",16,0,1507.07,555.4,567.1
"T1","Mugg13c",174,9,1,3,7,"1",14,0,1593.7,554.4,558.8
"T1","Mugg13c",195,9,1,3,11,"0",14,0,1647.01,586.2,603
"T2","Mugg13c",96,9,2,3,8,"0",14,0,1579.95,683.4,667.9
"T2","Mugg13c",171,9,2,3,9,"0",14,0,1635.78,609.2,656.4
"T2","Mugg13c",112,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T2","Mugg13c",108,NA,NA,0,NA,NA,4,1,NA,NA,NA
"T2","Mugg13c",97,NA,NA,0,NA,NA,7,1,NA,NA,NA
"T2","Mugg13c",157,9,2,3,9,"0",14,0,1537.36,NA,648.1
"T2","Mugg13c",110,9,1,3,9,"0",13,0,1569.55,598.2,660.6
"T2","Mugg13c",166,9,2,3,7,"0",14,0,1528.35,608.3,635
"T2","Mugg13c",189,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T2","Mugg13c",191,9,1,3,9,"0",13,0,1509.17,601.7,621.6
"T2","Mugg13c",192,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T2","Mugg13c",194,9,2,3,11,"0",14,0,1585.62,630.7,708.9
"T2","Mugg13c",104,9,2,3,11,"0",14,0,1619.21,649.9,627.4
"T2","Mugg13c",220,9,2,3,11,"0",13,0,1667.04,603.1,637
"T2","Mugg13c",198,9,2,3,8,"0",14,0,NA,595.5,645.8
"T3","Mugg13c",156,9,3,3,6,"0",20,0,1529.25,582.7,643
"T3","Mugg13c",209,12,0,3,3,"2",16,0,1438.49,NA,617.6
"T3","Mugg13c",91,10,1,3,3,"0",18,0,1662.85,576.9,NA
"T3","Mugg13c",200,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T3","Mugg13c",105,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T3","Mugg13c",155,9,3,3,4,"3",15,0,1447.58,608.2,NA
"T3","Mugg13c",227,14,1,2,3,"2",18,1,NA,694.8,NA
"T3","Mugg13c",240,10,1,3,2,"2",17,0,1459.79,571.8,648.3
"T3","Mugg13c",153,NA,NA,0,NA,NA,2,1,NA,NA,NA
"T3","Mugg13c",221,11,1,3,7,"3",20,0,1513.74,NA,587.6
"T3","Mugg13c",151,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T3","Mugg13c",119,NA,NA,0,NA,NA,13,1,NA,NA,NA
"T3","Mugg13c",222,9,2,3,3,"1",18,0,1540.98,609.8,NA
"T3","Mugg13c",120,NA,NA,0,NA,NA,2,1,NA,NA,NA
"T3","Mugg13c",2,10,2,3,3,"1",16,0,1767.33,585.5,NA
"T4","Mugg13c",144,14,1,2,2,"0",24,0,NA,502.1,NA
"T4","Mugg13c",142,10,2,3,4,"0",22,0,1504.45,552,511.5
"T4","Mugg13c",90,9,2,3,6,"0",14,0,1454.94,549.6,616.7
"T4","Mugg13c",95,10,3,3,5,"1",23,0,1456.01,564.6,NA
"T4","Mugg13c",94,10,0,3,4,"2",22,0,1487.12,NA,507.4
"T4","Mugg13c",70,12,1,2,3,"0",24,0,NA,546.1,NA
"T4","Mugg13c",65,24,1,1,1,"0",24,0,NA,557.7,NA
"T4","Mugg13c",63,10,4,3,5,"1",20,0,1517.92,514,NA
"T4","Mugg13c",66,10,2,3,4,"0",18,0,1522.54,558.3,545.5
"T4","Mugg13c",69,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T4","Mugg13c",106,10,3,3,5,"0",18,0,1491.55,542.7,567.1
"T4","Mugg13c",118,NA,NA,0,NA,NA,24,0,NA,NA,NA
"T4","Mugg13c",114,NA,NA,0,NA,NA,20,1,NA,NA,NA
"T4","Mugg13c",107,10,2,2,3,"0",24,0,NA,550,NA
"T4","Mugg13c",111,NA,NA,0,NA,NA,0,1,NA,NA,NA
