"treatment","genotype","replicate","age","clutch1","clutches","fecundity","dead","lifespan","death","size_m","size_c1","size_c3"
"T4","Mugg6b",154,NA,NA,0,NA,NA,24,0,"#N/A","#N/A","#N/A"
"T4","Mugg6b",46,"10","2",2,"3","0",24,0,"#N/A","556.9","#N/A"
"T4","Mugg6b",20,"10","2",3,"2","2",20,0,"1451.58","515.3","#N/A"
"T4","Mugg6b",135,"10","2",3,"5","2",18,0,"1653.48","506.9","549.7"
"T4","Mugg6b",47,"11","0",3,"3","2",21,0,"1469.45","#N/A","#N/A"
"T4","Mugg6b",134,"10","0",3,"2","2",21,0,"1525.34","#N/A","589.1"
"T4","Mugg6b",131,NA,NA,0,NA,NA,8,1,"#N/A","#N/A","#N/A"
"T4","Mugg6b",165,"10","1",3,"2","1",20,0,"1496.35","#N/A","#N/A"
"T4","Mugg6b",19,"#N/A","#N/A",0,"#N/A","#N/A",9,1,"#N/A","#N/A","#N/A"
"T4","Mugg6b",8,"#N/A","#N/A",0,"#N/A","#N/A",7,1,"#N/A","#N/A","#N/A"
"T4","Mugg6b",127,"10","1",3,"5","0",18,0,"1528.35","522.5","#N/A"
"T4","Mugg6b",125,"#N/A","#N/A",0,"#N/A","#N/A",8,1,"#N/A","#N/A","#N/A"
"T4","Mugg6b",32,"#N/A","#N/A",0,"#N/A","#N/A",24,0,"#N/A","#N/A","#N/A"
"T4","Mugg6b",16,"#N/A","#N/A",0,"#N/A","#N/A",11,1,"#N/A","#N/A","#N/A"
"T4","Mugg6b",141,"#N/A","#N/A",0,"#N/A","#N/A",10,1,"#N/A","#N/A","#N/A"
"T4","Mugg7a",76,"8","2",3,"3","2",14,0,"1209.69","516.6","580.8"
"T4","Mugg7a",100,"10","2",2,"4","0",17,1,"#N/A","528.2","#N/A"
"T4","Mugg7a",115,"10","3",2,"5","0",24,0,"#N/A","539.0","#N/A"
"T4","Mugg7a",74,"10","2",2,"4","0",24,0,"#N/A","#N/A","#N/A"
"T4","Mugg7a",64,"10","0",3,"3","2",22,0,"1425.87","#N/A","#N/A"
"T4","Mugg7a",67,"8","2",3,"6","1",13,0,"1288.46","502.3","583.5"
"T4","Mugg7a",117,"10","0",3,"3","1",14,0,"1393.04","#N/A","556.6"
"T4","Mugg7a",113,"13","1",2,"2","0",24,0,"#N/A","#N/A","#N/A"
"T4","Mugg7a",116,"10","3",3,"7","0",19,0,"1339.28","522.2","581.5"
"T4","Mugg7a",103,"10","4",3,"8","0",23,0,"1440.43","504.3","525.5"
"T4","Mugg7a",85,"10","2",2,"4","1",24,0,"#N/A","545.3","#N/A"
"T4","Mugg7a",89,"#N/A","#N/A",0,"#N/A","#N/A",9,1,"#N/A","#N/A","#N/A"
"T4","Mugg7a",88,"15","1",2,"2","0",24,0,"#N/A","526.9","#N/A"
"T4","Mugg7a",86,"#N/A","#N/A",0,"#N/A","#N/A",0,1,"#N/A","#N/A","#N/A"
"T4","Mugg7a",109,"8","1",2,"3","1",10,1,"#N/A","545.2","#N/A"
"T4","Mugg11c",230,"10","1",3,"3","2",16,0,"1332.89","#N/A","533.3"
"T4","Mugg11c",122,"10","0",1,"0","3",11,1,"#N/A","#N/A","#N/A"
"T4","Mugg11c",232,"8","3",2,"5","0",24,0,"#N/A","503.3","#N/A"
"T4","Mugg11c",236,"10","2",2,"4","0",12,1,"#N/A","503.2","#N/A"
"T4","Mugg11c",12,"10","0",1,"0","1",11,1,"#N/A","#N/A","#N/A"
